,,clusters,pID,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
1,7,1,118,70.08255170174088,,,,,,MT8cls5sw
1,8,1,119,482.54970517955456,,,,,,MT8cls5sw
1,9,1,120,254.1867247792425,1.0,5140.99423828125,5140.99423828125,5140.99423828125,0.0,MT8cls5sw
1,10,1,121,153.30688634949962,,,,,,MT8cls5sw
1,11,1,122,87389.20797667802,76.0,3604.481872558595,3796.813720703125,4170.5498046875,0.07280586827517664,MT8cls5sw
1,12,1,123,234.45832729770953,1.0,3344.71870117188,3344.71870117188,3344.71870117188,0.0,MT8cls5sw
1,13,1,124,94.08571194267876,,,,,,MT8cls5sw
1,14,1,125,153.28013826331306,1.0,2937.46557617188,2937.46557617188,2937.46557617188,0.0,MT8cls5sw
1,15,1,126,378.2024532015395,1.0,3384.6181233724,3384.6181233724,3384.6181233724,0.0,MT8cls5sw
1,16,1,127,45902.2386874623,122.0,2200.35595703125,2200.35595703125,2963.36157226563,0.14776284932422998,MT8cls5sw
1,17,1,128,87.43745235919998,,,,,,MT8cls5sw
1,18,1,129,1231.9811161419702,2.0,4926.209139506022,5011.788731892904,5097.368324279787,0.017075658405608745,MT8cls5sw
1,19,1,130,101690.20625276478,52.0,1893.2827148437475,2136.0057983398447,2219.6751834644997,0.07935711395319772,MT8cls5sw
1,20,1,131,426.3197237190311,1.0,2963.36157226563,2963.36157226563,2963.36157226563,0.0,MT8cls5sw
1,21,1,132,64.20263358697831,,,,,,MT8cls5sw
1,22,1,133,217.63060533451966,1.0,2183.32568359375,2183.32568359375,2183.32568359375,0.0,MT8cls5sw
1,23,1,134,481.5201039199295,1.0,2581.0673828125,2581.0673828125,2581.0673828125,0.0,MT8cls5sw
1,24,1,135,215.06512097026308,1.0,2690.59033203125,2690.59033203125,2690.59033203125,0.0,MT8cls5sw
1,25,1,136,167.16506573993104,1.0,3058.236328125,3058.236328125,3058.236328125,0.0,MT8cls5sw
1,26,1,137,92.25029136577189,1.0,3778.076171875,3778.076171875,3778.076171875,0.0,MT8cls5sw
1,27,1,138,22.902572441190102,1.0,3398.49462890625,3398.49462890625,3398.49462890625,0.0,MT8cls5sw
1,28,1,139,377.17576914339855,,,,,,MT8cls5sw
1,29,1,140,67.71466227469683,1.0,2790.05432128906,2790.05432128906,2790.05432128906,0.0,MT8cls5sw
1,30,1,141,540.4228298210602,1.0,2442.33573986235,2442.33573986235,2442.33573986235,0.0,MT8cls5sw
1,31,1,142,510.9581465363379,3.0,2303.391278076175,2371.39125976563,2378.24000244141,0.01598774441650609,MT8cls5sw
1,32,1,143,2803.4758174680373,23.0,1995.884490966795,2130.05395507813,2272.953712100075,0.06490506502078819,MT8cls5sw
1,33,1,144,625.3053964916426,2.0,2112.04032389323,2120.13924153646,2128.2381591796902,0.0038199932742912137,MT8cls5sw
1,34,1,145,789.2780663205097,3.0,2047.35827636719,2056.71264648438,2132.0943603515652,0.0202744453280611,MT8cls5sw
1,35,1,146,19200.402648814677,16.0,2008.7613098144525,2091.2705078125,2140.12738037109,0.03166295371273574,MT8cls5sw
2,0,2,147,826536.5653631553,930.0,4639.68952433268,4918.090869140625,5111.7464599609375,0.04840896626800272,MT8cls5sw
2,1,2,148,83677.18474310508,257.0,2901.88978407118,3227.41890676398,3489.27221679688,0.09190542074288217,MT8cls5sw
2,2,2,149,14800.589403416638,12.0,3702.9060478396577,3763.9621483939,3844.9324485778825,0.018816830912006834,MT8cls5sw
2,3,2,150,760.006074421251,1.0,3802.37203901242,3802.37203901242,3802.37203901242,0.0,MT8cls5sw
2,4,2,151,147977.5859218045,312.0,3856.9903231534126,4154.444184955801,4396.239920479908,0.06533800480635824,MT8cls5sw
2,5,2,152,19243.916292959282,38.0,3141.808258056645,3505.9296061197947,3797.2631842873275,0.0944585931528144,MT8cls5sw
2,6,2,153,101.08301566360139,1.0,3274.10498046875,3274.10498046875,3274.10498046875,0.0,MT8cls5sw
2,7,2,154,598.989967353795,3.0,3450.8282470703152,3573.34521484375,3696.5872802734402,0.034384321474374695,MT8cls5sw
2,8,2,155,6622.954824091687,30.0,3426.5232177734374,3639.910485839845,4019.300696331525,0.07961207320994557,MT8cls5sw
2,9,2,156,678.0041355081444,3.0,4160.4963341915245,4193.57332356771,4354.031372070314,0.022729979225560373,MT8cls5sw
2,10,2,157,150.7931452755715,,,,,,MT8cls5sw
2,11,2,158,6484.520237155705,15.0,3112.49545898438,3343.3759765625,3680.870307074655,0.08366616308663745,MT8cls5sw
2,12,2,159,251.86464047904346,2.0,3471.121325683595,3496.94423014323,3522.767134602865,0.007384419870653016,MT8cls5sw
